lang;food_id;name_translation
fr;1;Avoine porridge (flocons d'avoine, bouillis)
fr;2;Avoine, flocons (cru)
fr;3;Blé (moyenne, cru?)
fr;4;Blé (cru)
fr;5;Blé complet (cuit au four)
fr;6;Pâtes (bouillies, semoule de blé durum)
fr;7;Blé, pétales (céréales petit déjeuner, moyenne)
fr;8;Blé, son (céréales petit déjeuner, type Kelloggs all bran fibre plus)
fr;9;Blé, soufflé (céréales petit déjeuner, type smacks)
fr;10;Maïs (moyenne, cru?)
fr;11;Maïs (extrudé, cru)
fr;12;Maïs (céréales petit déjeuner type miel pops)
fr;13;Cornflakes (flocons de maïs toastés, Kellogg’s)
fr;14;Seigle (cru, moulu)
fr;15;Riz (moyenne, cru?)
fr;16;Riz (bouilli)
fr;17;Riz blanc (trempé, bouilli)
fr;18;Riz complet (trempé, bouilli)
fr;19;Canola, graines (colza de printemps, moyenne, cru?)
fr;20;Colza, graines (moyenne, cru?)
fr;21;Orge, sans coque (cru, moulu)
fr;22;Sarrasin (trempé, bouilli)
fr;23;Millet commun (trempé, bouilli)
fr;24;Quinoa (cru)
fr;25;Pain (blé)
fr;26;Pistaches (crues)
fr;27;Pistaches (crues)
fr;28;Pistaches (grillées)
fr;29;Noix (crues)
fr;30;Cacahuètes (grillées)
fr;31;Arachides / cacahuètes, farine
fr;32;Graines de courge, concentré de protéine (crues)
fr;33;Amandes (crues)
fr;34;Graines de tournesol (crues)
fr;35;Noix de cajou (crues)
fr;36;Noix du brésil (crues)
fr;37;Noix de pécan (crues)
fr;38;Pignons de pin (crus)
fr;39;Noisettes (crues)
fr;40;Fèves (farine, cuite au four)
fr;41;Haricots rouges (bouillis)
fr;42;Adzuki - haricots rouges (trempés, bouillis)
fr;43;Haricots blancs (bouillis)
fr;44;Pois, isolat de protéine (poudre, crue)
fr;45;Pois, concentrat de protéine (poudre, crue)
fr;46;Petits pois (trempés, cuits)
fr;47;Pois chiches (bouillis)
fr;48;Pois cassés verts, farine (cuite au four)
fr;49;Pois cassés jaunes, farine (cuite au four)
fr;50;Pois cassés verts (bouillis)
fr;51;Pois cassés jaunes (bouillis)
fr;52;Lentilles vertes (bouillies)
fr;53;Lentilles corail (bouillies)
fr;54;Pois chiches (trempés, bouillis)
fr;55;Soja (trempé, bouilli)
fr;56;Soja, lait
fr;57;Tofu (soja)
fr;58;Oeufs (bouillis)
fr;59;Bacon, porc (fumé et cuit)
fr;60;Jambon de porc (fumé)
fr;61;Bœuf, steak haché (cru)
fr;62;Bœuf, steak haché (cuit)
fr;63;Mouche soldat noir, larve, mat. grasse >20%, lyophil.
fr;64;Ver de farine, larve, lyophil.
fr;65;Whey (crue)
fr;66;Lait en poudre
fr;67;Lait
fr;68;Yaourt
